sample_id	pop_name
Kazak_Tacheng281	Kazakh_Xinjiang
Kazak_Tacheng283	Kazakh_Xinjiang
Kazak_Tacheng288	Kazakh_Xinjiang
Kazak_Tacheng290	Kazakh_Xinjiang
Kazak_Tacheng296	Kazakh_Xinjiang
Kazak_Tacheng298	Kazakh_Xinjiang
Kazak_Tacheng308	Kazakh_Xinjiang
Kazak_Tacheng314	Kazakh_Xinjiang
Kazak_Tacheng326	Kazakh_Xinjiang
Kazak_Tacheng328	Kazakh_Xinjiang
Kazak_Tacheng331	Kazakh_Xinjiang
Kazak_Tacheng342	Kazakh_Xinjiang
Kazak_Tacheng343	Kazakh_Xinjiang
Kazak_Tacheng345	Kazakh_Xinjiang
Kazak_Tacheng350	Kazakh_Xinjiang
Kazak_Tacheng360	Kazakh_Xinjiang
Kazak_Tacheng369	Kazakh_Xinjiang
Kazak_Tacheng370	Kazakh_Xinjiang
Kazak_Tacheng385	Kazakh_Xinjiang
Kazak_Tacheng393	Kazakh_Xinjiang
Kazak_Tacheng394	Kazakh_Xinjiang
Kazak_Tacheng397	Kazakh_Xinjiang
Kazak_Tacheng411	Kazakh_Xinjiang
Kazak_Tacheng413	Kazakh_Xinjiang
Kazak_Tacheng419	Kazakh_Xinjiang
Kazak_Tacheng428	Kazakh_Xinjiang
Kazak_Tacheng430	Kazakh_Xinjiang
Kazak_Tacheng446	Kazakh_Xinjiang
Kazak_Tacheng449	Kazakh_Xinjiang
Kazak_Tacheng453	Kazakh_Xinjiang
Kazak_Tacheng457	Kazakh_Xinjiang
Kazak_Tacheng466	Kazakh_Xinjiang
Kazak_Tacheng474	Kazakh_Xinjiang
Kazak_Tacheng477	Kazakh_Xinjiang
Kazak_Tacheng479	Kazakh_Xinjiang
Kazak_Tacheng482	Kazakh_Xinjiang
Kazak_Tacheng486	Kazakh_Xinjiang
Kazak_Tacheng497	Kazakh_Xinjiang
Kazak_Tacheng498	Kazakh_Xinjiang
Kazak_Tacheng503	Kazakh_Xinjiang
Kazak_Tacheng509	Kazakh_Xinjiang
Kazak_Tacheng518	Kazakh_Xinjiang
Kazak_Tacheng520	Kazakh_Xinjiang
Kazak_Tacheng522	Kazakh_Xinjiang
Kazak_Tacheng532	Kazakh_Xinjiang
Kazak_Tacheng538	Kazakh_Xinjiang
Kazak_Tacheng540	Kazakh_Xinjiang
Kazak_Tacheng543	Kazakh_Xinjiang
Kazak_Tacheng553	Kazakh_Xinjiang
Kazak_Tacheng558	Kazakh_Xinjiang
Kazak_Tacheng563	Kazakh_Xinjiang
Kazak_Tacheng566	Kazakh_Xinjiang
Kazak_Tacheng568	Kazakh_Xinjiang
Kazak_Tacheng587	Kazakh_Xinjiang
Kazak_Tacheng588	Kazakh_Xinjiang
Kazak_Tacheng592	Kazakh_Xinjiang
Kazak_Tacheng595	Kazakh_Xinjiang
Kazak_Tacheng597	Kazakh_Xinjiang
Kazak_Tacheng601	Kazakh_Xinjiang
Kazak_Tacheng603	Kazakh_Xinjiang
Kazak_Tacheng608	Kazakh_Xinjiang
Kazak_Tacheng609	Kazakh_Xinjiang
Kazak_Tacheng617	Kazakh_Xinjiang
Kazak_Tacheng628	Kazakh_Xinjiang
Kazak_Tacheng634	Kazakh_Xinjiang
Kazak_Tacheng637	Kazakh_Xinjiang
Kazak_Tacheng638	Kazakh_Xinjiang
Kazak_Tacheng640	Kazakh_Xinjiang
Kazak_Tacheng647	Kazakh_Xinjiang
Kazak_Tacheng661	Kazakh_Xinjiang
Kazak_Tacheng663	Kazakh_Xinjiang
Kazak_Tacheng671	Kazakh_Xinjiang
Kazak_Tacheng673	Kazakh_Xinjiang
Kazak_Tacheng687	Kazakh_Xinjiang
Kazak_Tacheng690	Kazakh_Xinjiang
Kazak_Tacheng694	Kazakh_Xinjiang
Kazak_Tacheng699	Kazakh_Xinjiang
Kazak_Tacheng703	Kazakh_Xinjiang
Kazak_Tacheng712	Kazakh_Xinjiang
Kazak_Tacheng719	Kazakh_Xinjiang
Kazak_Tacheng723	Kazakh_Xinjiang
Kazak_Tacheng726	Kazakh_Xinjiang
Kazak_Tacheng734	Kazakh_Xinjiang
Kazak_Tacheng735	Kazakh_Xinjiang
Kazak_Tacheng739	Kazakh_Xinjiang
Kazak_Tacheng743	Kazakh_Xinjiang
Kazak_Tacheng747	Kazakh_Xinjiang
Kazak_Tacheng748	Kazakh_Xinjiang
Kazak_Urumqi289	Kazakh_Xinjiang
Kazak_Urumqi293	Kazakh_Xinjiang
Kazak_Urumqi302	Kazakh_Xinjiang
Kazak_Urumqi303	Kazakh_Xinjiang
Kazak_Urumqi307	Kazakh_Xinjiang
Kazak_Urumqi310	Kazakh_Xinjiang
Kazak_Urumqi312	Kazakh_Xinjiang
Kazak_Urumqi318	Kazakh_Xinjiang
Kazak_Urumqi332	Kazakh_Xinjiang
Kazak_Urumqi334	Kazakh_Xinjiang
Kazak_Urumqi337	Kazakh_Xinjiang
Kazak_Urumqi341	Kazakh_Xinjiang
Kazak_Urumqi359	Kazakh_Xinjiang
Kazak_Urumqi362	Kazakh_Xinjiang
Kazak_Urumqi375	Kazakh_Xinjiang
Kazak_Urumqi386	Kazakh_Xinjiang
