group	original_n_samples	resample_n	bootstrap_replicates_requested	n_valid_bootstrap	metric	full_data_value	bootstrap_mean	bootstrap_sd	bootstrap_p2_5	bootstrap_p50	bootstrap_p97_5
Lao_Isan	100	20	50	50	haplotype_diversity	0.9957575757575756	0.9846315836906433	0.013140625537256838	0.9578947424888611	0.9894737005233765	1.0
Lawa	70	20	50	50	pi	0.0024949177277901	0.0024176412681117653	0.00013649077328025167	0.002165240002796054	0.0024270241847261786	0.0026739826949778943
Lawa	70	20	50	50	theta_w	0.0037698799741346	0.003034393577836454	0.000311328852480693	0.0025405689026229083	0.002959886100143194	0.003585459728492424
Lawa	70	20	50	50	tajima_d	-1.1820788873869814	-0.8188465048372745	0.28745038670802703	-1.3218202471733094	-0.8353610336780548	-0.3164850398898126
Lawa	70	20	50	50	haplotype_diversity	0.9734989648033124	0.9573684203624725	0.01784047054588175	0.9128947526216507	0.9578947424888611	0.9882894918322563
Lepcha	20	20	50	50	pi	0.0016882126862116	0.001614814349450171	0.00015666139951690033	0.0012944048910867422	0.0016084871022030711	0.0018895594199420883
Lepcha	20	20	50	50	theta_w	0.0016330405995647	0.0014244877127930521	0.0001778201590509977	0.001002363726729527	0.001428910531103611	0.0016330406069755554
Lepcha	20	20	50	50	tajima_d	0.138677315678165	0.5822541735507548	0.4188243268112172	-0.29033551588654516	0.568166196346283	1.219560620188713
Lepcha	20	20	50	50	haplotype_diversity	0.8578947368421052	0.8216842126846313	0.06089489845346057	0.6760526567697525	0.8368421196937561	0.9105263352394104
Lhoba	92	20	50	50	pi	0.0022035767316657	0.0021882333070971072	0.00013635451526464556	0.001958215585909784	0.002178794937208295	0.002441357320640236
Lhoba	92	20	50	50	theta_w	0.0041824504407302	0.0028785742865875363	0.0002785893633082112	0.0023343124717939644	0.0028918427415192127	0.0033851570915430784
Lhoba	92	20	50	50	tajima_d	-1.6123592420844008	-0.9779444599151611	0.21490092425584148	-1.3105587124824525	-1.0018298029899597	-0.555552726984024
Lhoba	92	20	50	50	haplotype_diversity	0.9866220735785952	0.9782105243206024	0.010838026191938329	0.9578947424888611	0.9789473414421082	0.9935526415705681
Li	152	20	50	50	pi	0.0025054255076796	0.0024520026799291373	0.00010784691705113991	0.0022495393524877725	0.002460057847201824	0.002650374767836183
Li	152	20	50	50	theta_w	0.0053042620985586	0.003423941801302135	0.0002876399600568161	0.002927990775788203	0.0034361896105110645	0.003940560825867578
Li	152	20	50	50	tajima_d	-1.7273248035210915	-1.1631445026397704	0.22406061658930057	-1.4857162833213806	-1.1538265347480774	-0.7646135866641999
Li	152	20	50	50	haplotype_diversity	0.9998257232485186	0.9918947446346283	0.006757370580633322	0.9748684003949165	0.9947368502616882	1.0
Libyan	60	20	50	50	pi	0.0019289506254922	0.001922713841777295	0.00018660666731840157	0.0015712288906797767	0.001898643677122891	0.0022707095893565563
Libyan	60	20	50	50	theta_w	0.0060308568082536	0.0032892159512266515	0.00033878075925658296	0.002655817341292277	0.003291597473435104	0.0039086656819563356
Libyan	60	20	50	50	tajima_d	-2.426610100521652	-1.7143782162666321	0.2059982582976069	-2.0305581837892532	-1.7450268864631653	-1.2241299211978913
Libyan	60	20	50	50	haplotype_diversity	1.0	0.9850526416301727	0.00937729345025404	0.9590789511799812	0.9894737005233765	0.9947368502616882
Lisu	29	20	50	50	pi	0.0021149266732268	0.002065718013327569	0.00010771155248384542	0.0018534606380853802	0.0020749293034896255	0.0022265588107984514
Lisu	29	20	50	50	theta_w	0.0030427261395261	0.0024893662752583623	0.0002991705227014285	0.001932006113929674	0.0025005934294313192	0.0029994363023433833
Lisu	29	20	50	50	tajima_d	-1.1861169836029732	-0.669643434882164	0.3194053864521257	-1.1937070697546006	-0.7195381820201874	-0.049612727016210584
Lisu	29	20	50	50	haplotype_diversity	0.977832512315271	0.9451578915119171	0.020763542050650726	0.9076316028833389	0.9500000178813934	0.9724999830126763
Lolo	36	20	50	50	pi	0.0020085064804437	0.0019496426731348037	0.0001642815586358552	0.0015893657342530786	0.0019607407739385962	0.002202672854764387
Lolo	36	20	50	50	theta_w	0.0021102521428418	0.0019637313298881054	0.0003012246478230625	0.0013948888517916203	0.002024289919063449	0.0024627443111967296
Lolo	36	20	50	50	tajima_d	-0.1807026936422509	0.02619033172726631	0.4364484841783275	-0.6192510336637497	0.0006221942603588104	0.9803910285234448
Lolo	36	20	50	50	haplotype_diversity	0.8888888888888888	0.8630526340007783	0.038207625448694826	0.7813157841563225	0.8605263233184814	0.9198684260249138
Lue	190	20	50	50	pi	0.0023359243007942	0.002319550234824419	9.227054051958933e-05	0.0021429739543236794	0.0023101356346160173	0.002467974869068712
Lue	190	20	50	50	theta_w	0.0072358593401162	0.003602215382270515	0.0003111553280058763	0.0030866168555803595	0.0035977925872430205	0.004253985546529292
Lue	190	20	50	50	tajima_d	-2.1850583610372927	-1.464934755563736	0.19194644497924881	-1.7642188549041748	-1.4902872443199158	-1.0453815072774888
Lue	190	20	50	50	haplotype_diversity	0.9983848510164298	0.9920000076293946	0.0063368080402691224	0.9789473414421082	0.9947368502616882	1.0
Ma	26	20	50	50	pi	0.0026281045448215	0.002549763382412493	0.00010298109703329699	0.0022916177462320776	0.0025516946334391832	0.002705380693078041
Ma	26	20	50	50	theta_w	0.0038747168349688	0.003119107559323311	0.00025465766731749026	0.0026613458641804753	0.003095972817391157	0.0035305997706018386
Ma	26	20	50	50	tajima_d	-1.2768271393485249	-0.7398504927754402	0.24711433175946704	-1.1641435384750367	-0.7674185037612915	-0.2144531454890968
Ma	26	20	50	50	haplotype_diversity	0.9969230769230768	0.9575789451599122	0.01320664244479432	0.9263157844543457	0.9578947424888611	0.9736841917037964
Madia	20	20	50	50	pi	0.0012981609122383	0.0012359050998929889	9.181422894907183e-05	0.0010618826228892431	0.001262586156371981	0.0013500539964297787
Madia	20	20	50	50	theta_w	0.0017521164766163	0.0014023736212402582	0.00015487003201896505	0.0010963486158289016	0.0014118996914476156	0.0016802456870209424
Madia	20	20	50	50	tajima_d	-1.065081096730121	-0.4599692089855671	0.3193905618311722	-0.9265211045742034	-0.48139891028404236	0.2639293655753132
Madia	20	20	50	50	haplotype_diversity	0.9684210526315788	0.927052630186081	0.0316667188034739	0.8655262991786004	0.9368420839309692	0.9672368332743645
Makatao	50	20	50	50	pi	0.0023355215351077	0.0022693326650187373	0.00011963749591746655	0.0020927723380737007	0.0022580440854653716	0.002469261281657964
Makatao	50	20	50	50	theta_w	0.0051064105591688	0.0034681699657812715	0.00039657717986756546	0.002548649051459506	0.0034702112898230553	0.004152345727197825
Makatao	50	20	50	50	tajima_d	-1.973440078847142	-1.4104936802387238	0.24502605831427604	-1.7474101066589356	-1.4120838642120361	-0.8906498283147812
Makatao	50	20	50	50	haplotype_diversity	0.9910204081632652	0.9731578922271729	0.013030975092955657	0.942105233669281	0.9736841917037964	0.9894737005233765
Makrani	23	20	50	50	pi	0.0028564885823944	0.002745075118727982	0.00031333958078780483	0.0021144904021639377	0.0027478322153910995	0.0034012006071861833
