pop1,pop2,metric,diff,ci_low,ci_high,p_value
Beijing,Jilin,pi,0.00012570924012423687,-4.392498057250259e-06,0.00028611479038997755,0.45454545454545453
Beijing,Liaoning,pi,4.520366511316735e-05,-9.181916219692287e-05,0.00018803457289326073,0.7272727272727273
Beijing,Ningxia,pi,0.0002545181601419481,0.00014022058608085278,0.00046526012586765045,0.5454545454545454
Beijing,Shaanxi,pi,0.0001327866533120232,6.931958125979135e-05,0.00023628410821442512,0.5454545454545454
Beijing,Shandong,pi,3.753646749306549e-05,-6.41023248079418e-05,0.00013346055914446,0.7272727272727273
Beijing,Shanghai,pi,0.0001498609126275577,6.970350927158377e-05,0.0002752290491763961,0.45454545454545453
Beijing,Shanxi,pi,0.00015791147012866468,6.384327246077159e-05,0.0002722801418374822,0.45454545454545453
Beijing,Sichuan,pi,3.601007191916426e-05,-3.639462975801939e-05,0.00013968313572188917,0.5454545454545454
Beijing,Tianjin,pi,9.695724904885492e-05,1.3642612326963183e-05,0.00019318148947318088,0.2727272727272727
Beijing,Xinjiang,pi,9.350701011980904e-05,-6.192902120503935e-05,0.00018632439571333702,0.6363636363636364
Beijing,Yunnan,pi,2.6625455495228243e-05,-0.00010721831544835303,0.00017257314971049406,0.7272727272727273
Beijing,Zhejiang,pi,5.382926243578196e-05,-3.1087840054187856e-05,0.00018433167720048737,0.8181818181818182
Chongqing,Fujian,pi,-1.2927106602599828e-05,-0.00013682912557310407,0.00015798937539097154,0.8181818181818182
Chongqing,Gansu,pi,-2.0536263413644773e-06,-6.225833955768642e-05,3.761695787822283e-05,1.0
Chongqing,Guangdong,pi,4.8951688307869264e-05,-3.9411610371605105e-05,0.00012010794177674943,0.5454545454545454
Chongqing,Guizhou,pi,-3.104086098009053e-05,-9.685768429381309e-05,1.8961304301490094e-05,0.6363636363636364
Chongqing,Hainan,pi,5.147735340625575e-05,-7.852055425214547e-05,0.00017372276157593075,0.8181818181818182
Chongqing,Hebei,pi,-5.723976206872567e-06,-0.00010293845187711655,6.336739435673918e-05,0.8181818181818182
Chongqing,Heilongjiang,pi,-5.586341327517029e-05,-0.00015741122197135882,6.0819865544714835e-05,0.6363636363636364
Chongqing,Henan,pi,-4.758406748227165e-06,-3.795388760461915e-05,4.643343789870994e-05,0.9090909090909091
Chongqing,Hubei,pi,3.7041870990477767e-05,-2.897761379861663e-05,6.80791869106335e-05,0.45454545454545453
Chongqing,Hunan,pi,-7.972917371149501e-06,-0.00013543852787885612,5.3488317019925726e-05,1.0
Chongqing,Jiangsu,pi,6.705343204970181e-05,-5.323967310069011e-07,0.00011648460832530348,0.5454545454545454
