"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"111-1870-8146"	"A14"	"1"	"0.8570"	"1-16569"
"111-1870-9372"	"M7c1a6"	"1"	"0.9432"	"1-16569"
"111-1871-3737"	"D4b2b"	"1"	"0.9335"	"1-16569"
"111-1871-5847"	"G2a4"	"1"	"0.9137"	"1-16569"
"111-1872-3675"	"G2d"	"1"	"0.9427"	"1-16569"
"111-1872-5839"	"C5b1b"	"1"	"0.9306"	"1-16569"
"111-1872-6010"	"F1a1c"	"1"	"0.8677"	"1-16569"
"111-1873-0819"	"B5b5"	"1"	"0.9828"	"1-16569"
"111-1873-2660"	"B4b1a2a"	"1"	"0.9016"	"1-16569"
"111-1873-4237"	"D4b2b"	"1"	"0.9046"	"1-16569"
"111-1873-7429"	"G2a4"	"1"	"0.9137"	"1-16569"
"111-1873-8501"	"D4b2b2a1"	"1"	"0.9172"	"1-16569"
"111-1873-9829"	"M8a2d"	"1"	"0.9832"	"1-16569"
"111-1874-0535"	"B4a1c"	"1"	"0.8061"	"1-16569"
"111-1874-2959"	"D4k"	"1"	"0.8733"	"1-16569"
"111-1874-3536"	"D4_T195C!"	"1"	"0.9469"	"1-16569"
"111-1874-5592"	"C7a"	"1"	"1.0000"	"1-16569"
"111-1874-7770"	"A5b1b"	"1"	"0.8792"	"1-16569"
"111-1875-2965"	"D4i"	"1"	"0.9292"	"1-16569"
"111-1875-3986"	"M7c1b2b"	"1"	"0.9691"	"1-16569"
"111-1875-5447"	"N9a1"	"1"	"0.9929"	"1-16569"
"111-1875-6383"	"R11b1b"	"1"	"0.8640"	"1-16569"
"111-1876-1844"	"D4g1b"	"1"	"0.9554"	"1-16569"
"111-1876-1936"	"M7c1b2b"	"1"	"0.9691"	"1-16569"
"111-1876-2742"	"M7c1"	"1"	"0.9715"	"1-16569"
"111-1876-5897"	"F4a2"	"1"	"0.9187"	"1-16569"
"111-1876-5965"	"A17"	"1"	"0.9319"	"1-16569"
"111-1877-0327"	"G1a1"	"1"	"0.9383"	"1-16569"
"111-1877-6091"	"N9a9"	"1"	"0.8960"	"1-16569"
"111-1877-9979"	"D4b1a2a"	"1"	"0.9353"	"1-16569"
"111-1878-0920"	"M7c1"	"1"	"0.9140"	"1-16569"
"111-1878-1767"	"A15"	"1"	"0.8508"	"1-16569"
"111-1878-2948"	"D5b4"	"1"	"0.9660"	"1-16569"
"111-1878-4607"	"F4a1a"	"1"	"0.9905"	"1-16569"
"111-1878-8247"	"F1a1"	"1"	"0.9179"	"1-16569"
"111-1879-5627"	"A11"	"1"	"0.9173"	"1-16569"
"111-1879-6501"	"R9c1b1"	"1"	"0.9187"	"1-16569"
"111-1880-3568"	"R9b1a2b"	"1"	"0.8801"	"1-16569"
"111-1880-5135"	"M7c1b2b"	"1"	"0.9041"	"1-16569"
"111-1880-6200"	"B5b2a1"	"1"	"0.9754"	"1-16569"
"111-1880-8327"	"D4a1e"	"1"	"0.9763"	"1-16569"
"111-1880-9775"	"D4g2f"	"1"	"1.0000"	"1-16569"
"111-1881-0870"	"Z3d"	"1"	"0.9613"	"1-16569"
"111-1881-4168"	"F2d"	"1"	"0.8921"	"1-16569"
"111-1881-4410"	"D4q"	"1"	"0.9713"	"1-16569"
"111-1881-6612"	"C7a1"	"1"	"0.9748"	"1-16569"
"111-1881-6865"	"D4h1c"	"1"	"0.9411"	"1-16569"
"111-1881-9705"	"F2i"	"1"	"0.9438"	"1-16569"
"111-1882-7045"	"D5a2a1b"	"1"	"0.9015"	"1-16569"
"111-1882-9735"	"M8a3"	"1"	"0.9587"	"1-16569"
"111-1883-0694"	"B4a1c1a"	"1"	"0.8722"	"1-16569"
