ID,Haplogroup,Population
Han_Beijing4758,C2b1a2a2b1a,Han_noNWC
Han_Beijing4734,C2b1a2b,Han_noNWC
Han_Beijing4707,C2b1a2b2,Han_noNWC
Han_Beijing4781,C2b1a2b2,Han_noNWC
Han_Beijing4705,C2b1b1,Han_noNWC
Han_Beijing4780,C2b1b1,Han_noNWC
Han_Beijing4708,C2b1b1g2,Han_noNWC
Han_Beijing4712,D1a1a1a1a1,Han_noNWC
Han_Beijing4769,D1a1a1a1a1,Han_noNWC
Han_Beijing4779,G2a2,Han_noNWC
Han_Beijing4723,N1a1a3,Han_noNWC
Han_Beijing4657,N1a2a1a2,Han_noNWC
Han_Beijing4732,N1b1a2b1,Han_noNWC
Han_Beijing4740,N1b2,Han_noNWC
Han_Beijing4757,N1b2,Han_noNWC
Han_Beijing4766,N1b2,Han_noNWC
Han_Beijing4739,O1a1a,Han_noNWC
Han_Beijing4737,O1a1a1a1a1a1a,Han_noNWC
Han_Beijing4659,O1a1a1a1a1a1a1a,Han_noNWC
Han_Beijing4676,O1a1a1a1a1a1a3,Han_noNWC
Han_Beijing4654,O1a1a1a1a1a1b1,Han_noNWC
Han_Beijing4754,O1a1a2a1,Han_noNWC
Han_Beijing4663,O1a1b1,Han_noNWC
Han_Beijing4686,O1b1a,Han_noNWC
Han_Beijing4760,O1b1a1a1a1b2a1a2,Han_noNWC
Han_Beijing4711,O1b1a1b1a1a,Han_noNWC
Han_Beijing4748,O1b1a1b1a1b1,Han_noNWC
Han_Beijing4721,O1b1a2,Han_noNWC
Han_Beijing4735,O1b1a2,Han_noNWC
Han_Beijing4653,O1b1a2a1,Han_noNWC
Han_Beijing4784,O1b1a2b1,Han_noNWC
Han_Beijing4656,O1b1a2b1a,Han_noNWC
Han_Beijing4763,O1b2a1a2,Han_noNWC
Han_Beijing4671,O2a1a,Han_noNWC
Han_Beijing4658,O2a1a1a2,Han_noNWC
Han_Beijing4661,O2a1a1b1a1a,Han_noNWC
Han_Beijing4782,O2a1a1b1a2b2b,Han_noNWC
Han_Beijing4677,O2a1a1b1a2b2b2,Han_noNWC
Han_Beijing4738,O2a1a1b1a2c,Han_noNWC
Han_Beijing4776,O2a1b1a1a1a1a1a,Han_noNWC
Han_Beijing4778,O2a1b1a1a1a1a1a1a,Han_noNWC
Han_Beijing4771,O2a1b1a1a1a1a1a1a1a2a1a,Han_noNWC
Han_Beijing4761,O2a1b1a1a1a1a1b1,Han_noNWC
Han_Beijing4774,O2a1b1a1a1a1a1b1a1,Han_noNWC
Han_Beijing4665,O2a1b1a1a1a1a1c,Han_noNWC
Han_Beijing4772,O2a1b1a1a1a1a1c,Han_noNWC
Han_Beijing4724,O2a1b1a1a1a1b,Han_noNWC
Han_Beijing4685,O2a1b1a1a1a1b1a1b1,Han_noNWC
Han_Beijing4764,O2a1b1a1a1a1c,Han_noNWC
Han_Beijing4666,O2a1b1a1a1a1e1a1,Han_noNWC
Han_Beijing4745,O2a1b1a1a1a1e1a2,Han_noNWC
Han_Beijing4695,O2a1b1a1a1a1e1a2a2,Han_noNWC
Han_Beijing4691,O2a1b1a1a1a1f1,Han_noNWC
Han_Beijing4664,O2a1b1a1a1a1h,Han_noNWC
Han_Beijing4694,O2a1b1a1a1a1h,Han_noNWC
Han_Beijing4730,O2a1b1a1a1a1h,Han_noNWC
Han_Beijing4701,O2a1b1a1a1a1k,Han_noNWC
Han_Beijing4703,O2a1b1a1a2,Han_noNWC
Han_Beijing4775,O2a1b1a2a1a1a1,Han_noNWC
Han_Beijing4743,O2a1b1a2a1a1a1d,Han_noNWC
Han_Beijing4710,O2a1b1a2a2a1b,Han_noNWC
Han_Beijing4733,O2a1b1a2a2a1b,Han_noNWC
Han_Beijing4687,O2a2a1a1,Han_noNWC
Han_Beijing4684,O2a2a1a1b2b2a1b,Han_noNWC
Han_Beijing4751,O2a2a1a2a,Han_noNWC
Han_Beijing4722,O2a2a1a2a1a1a2a1,Han_noNWC
Han_Beijing4655,O2a2a2a1a,Han_noNWC
Han_Beijing4762,O2a2b1a1a,Han_noNWC
Han_Beijing4715,O2a2b1a1a1a,Han_noNWC
Han_Beijing4700,O2a2b1a1a1a1a1a1a1,Han_noNWC
Han_Beijing4662,O2a2b1a1a1a1a1a1a1a,Han_noNWC
Han_Beijing4744,O2a2b1a1a1a1a1a1a1a,Han_noNWC
Han_Beijing4680,O2a2b1a1a1a1a1a1a1b1,Han_noNWC
Han_Beijing4689,O2a2b1a1a1a1a1b1a2,Han_noNWC
Han_Beijing4741,O2a2b1a1a1a2a1a1,Han_noNWC
Han_Beijing4736,O2a2b1a1a1a3,Han_noNWC
Han_Beijing4767,O2a2b1a1a1a3,Han_noNWC
Han_Beijing4783,O2a2b1a1a1a3,Han_noNWC
Han_Beijing4719,O2a2b1a1a1a4a2a,Han_noNWC
Han_Beijing4716,O2a2b1a1a1b,Han_noNWC
Han_Beijing4770,O2a2b1a1a1c,Han_noNWC
Han_Beijing4678,O2a2b1a1a1c1a1,Han_noNWC
Han_Beijing4765,O2a2b1a1a1e2,Han_noNWC
Han_Beijing4683,O2a2b1a2a1,Han_noNWC
Han_Beijing4702,O2a2b1a2a1a1a2a,Han_noNWC
Han_Beijing4652,O2a2b1a2a1a1a2a1,Han_noNWC
Han_Beijing4688,O2a2b1a2a1a1a2a1,Han_noNWC
Han_Beijing4717,O2a2b1a2a1a1a2a1a,Han_noNWC
Han_Beijing4777,O2a2b1a2a1a1a2a1a1a,Han_noNWC
Han_Beijing4718,O2a2b1a2a1a1b,Han_noNWC
Han_Beijing4752,O2a2b1a2a1a1b,Han_noNWC
Han_Beijing4709,O2a2b1a2a1a1b1a,Han_noNWC
Han_Beijing4731,O2a2b1a2a1a1b1a,Han_noNWC
Han_Beijing4681,O2a2b1a2a1a2a1,Han_noNWC
Han_Beijing4660,O2a2b1a2a1a3,Han_noNWC
Han_Beijing4704,O2a2b1a2a1a4,Han_noNWC
Han_Beijing4690,O2a2b1a2a2b,Han_noNWC
Han_Beijing4679,O2a2b1a2a2b1a,Han_noNWC
Han_Beijing4726,O2a2b2,Han_noNWC
