"population","hap","count","freq","class"
"Han_noNWC","I1",1,0.000209424083769634,"Singleton"
"Han_noNWC","I2",1,0.000209424083769634,"Singleton"
"Han_noNWC","J",3,0.0006282722513089,"Very rare"
"Han_noNWC","J2a1a1",10,0.00209424083769634,"Very rare"
"Han_noNWC","J2a2a",4,0.000837696335078534,"Very rare"
"Han_noNWC","J2b",3,0.0006282722513089,"Very rare"
"Han_noNWC","L1a1",1,0.000209424083769634,"Singleton"
"Han_noNWC","N",1,0.000209424083769634,"Singleton"
"Han_noNWC","N1a",32,0.00670157068062827,"Very rare"
"Han_noNWC","N1a1a1",12,0.0025130890052356,"Very rare"
"Han_noNWC","N1a1a3",26,0.00544502617801047,"Very rare"
"Han_noNWC","N1a2",1,0.000209424083769634,"Singleton"
"Han_noNWC","N1a2a",6,0.0012565445026178,"Very rare"
"Han_noNWC","N1a2a1",47,0.00984293193717277,"Very rare"
"Han_noNWC","N1b",30,0.00628272251308901,"Very rare"
"Han_noNWC","N1b1",3,0.0006282722513089,"Very rare"
"Han_noNWC","N1b1a1",18,0.0037696335078534,"Very rare"
"Han_noNWC","N1b1a2",23,0.00481675392670157,"Very rare"
"Han_noNWC","N1b1b",18,0.0037696335078534,"Very rare"
"Han_noNWC","N1b1b1",7,0.00146596858638743,"Very rare"
"Han_noNWC","N1b2",53,0.0110994764397906,"Rare"
"Han_noNWC","N1b2a1",20,0.00418848167539267,"Very rare"
"Han_noNWC","O",1,0.000209424083769634,"Singleton"
"Han_noNWC","O1",4,0.000837696335078534,"Very rare"
"Han_noNWC","O1a1a",14,0.00293193717277487,"Very rare"
"Han_noNWC","O1a1a1",453,0.094869109947644,"Common"
"Han_noNWC","O1a1a2",116,0.0242931937172775,"Rare"
"Han_noNWC","O1a1b",1,0.000209424083769634,"Singleton"
"Han_noNWC","O1a1b1",7,0.00146596858638743,"Very rare"
"Han_noNWC","O1a2",2,0.000418848167539267,"Doubleton"
"Han_noNWC","O1a2a2",4,0.000837696335078534,"Very rare"
