group	n_samples	n_sites_used	n_variant_sites	n_segregating_sites	missing_rate_mean	heterozygous_calls_masked_global	pi	theta_w	tajima_d	haplotype_diversity
Serbs	56	16569	17473	345	5.722788142382969e-05	0	0.0019986832720689084	0.0045325463817613215	-2.004877548429861	0.9974025974025974
Shan	52	16569	17473	394	5.722788142382969e-05	0	0.0025478544790554446	0.005261981616429275	-1.8678314198338266	0.9924585218702865
Shapirashti	32	16569	17473	276	5.722788142382969e-05	0	0.0020338933556563552	0.004135980681578224	-1.9549262007731933	1.0
Sherpa	165	16569	17474	379	3.468356449929072e-07	0	0.0021627345477383013	0.004026786428558919	-1.5017085125517444	0.9427198817442719
Sila	31	16569	17473	129	5.722788142382969e-05	0	0.001966372703616459	0.0019487306560567947	0.03461032044131502	0.8903225806451613
Sindhi	22	16569	17474	327	0.0	0	0.0033216029595027788	0.005413585182014184	-1.5826728021587062	0.9956709956709956
Soa	22	16569	17473	222	5.722788142382969e-05	0	0.0022784095807632317	0.00367527801347752	-1.5515108339288541	0.9826839826839827
Southern_Thai	29	16569	17474	331	1.381362655057958e-05	0	0.002438230406307321	0.0050865775362785425	-2.035880275081871	0.9975369458128078
Suay	25	16569	17473	210	5.722788142382969e-05	0	0.0024882317441158723	0.0033563683018049805	-1.0315885025055533	0.9766666666666667
Surigaonon	30	16569	17473	204	5.722788142382969e-05	0	0.0021871683349634777	0.003107643116922948	-1.146555205636964	0.9908045977011494
Tajik	310	16569	17474	896	0.000619907180068452	0	0.0023054687256604573	0.008566561281739597	-2.2841259358731634	0.9976406723039982
Tao	45	16569	17474	130	1.2717306983073264e-06	0	0.0016072615107014623	0.001794190652270436	-0.37797505396101644	0.8040404040404041
Thai	77	16569	17473	229	5.722788142382969e-05	0	0.002297323106966406	0.0028121108709866158	-0.6312480682605509	0.9487354750512645
Tharu	35	16569	17473	401	0.003976520217792966	0	0.002097811308645914	0.005876427417816909	-2.4492788068203613	1.0
Todzhi	53	16569	17474	193	3.2393140428582845e-06	0	0.0018933617594530134	0.002566646764623734	-0.9398254895793204	0.95355587808418
Tofalar	28	16569	17474	126	5.1096322699847936e-05	0	0.0014985327598483905	0.0019540507024001143	-0.9052819517491368	0.933862433862434
Toto	28	16569	17474	69	0.0	0	0.0010872584801371766	0.0010700753846476815	0.061367530743676464	0.9682539682539683
Tsou	51	16569	17474	224	3.3663459661076286e-06	0	0.0019171902919284793	0.0030046209814070914	-1.3055682869817393	0.9521568627450979
Tunisian	34	16569	17474	324	0.0	0	0.002255111733616473	0.004782189948531446	-2.017765066543701	0.998217468805704
Umbrians	191	16569	17473	820	5.722788142382969e-05	0	0.0018480113841875606	0.008492901535774058	-2.5260694644964543	0.9993386607880959
Uygur	751	16569	17474	1451	5.456080306186692e-05	0	0.002300301857296956	0.012165662197102044	-2.4167321141843505	0.9981393697292498
Vietnamese	49	16569	17473	254	5.722788142382969e-05	0	0.0022967394561928573	0.0034379019862533665	-1.2051748582655546	0.9625850340136054
Wancho	22	16569	17474	175	0.0	0	0.0020458921484872	0.002897178614227775	-1.1961956874679271	0.9523809523809523
Yakut	63	16569	17474	384	3.6335162808780756e-05	0	0.002334832350211874	0.004917758798728642	-1.8610505921422784	0.9984639016897081
Yao	44	16569	17473	231	5.722788142382969e-05	0	0.0022631899265209677	0.0032047957220960573	-1.079793726556133	0.9619450317124737
Yemeni	113	16569	17473	776	0.00022739220140973037	0	0.003308927660431872	0.00883586831465186	-2.105051004849377	0.9988938053097345
Yuan	42	16569	17473	328	5.722788142382969e-05	0	0.002428860912456008	0.004600306022952215	-1.7517904160321969	0.991869918699187
Zang	525	16569	17474	1522	8.240814925031476e-05	0	0.002873598710692457	0.013429429126229634	-2.3870806202155643	0.9999345692475463
