ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
YHC03975	YES	0.7884	34.2	117.28	Han	Xuzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06517	YES	0.9451	34.2	117.28	Han	Xuzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03665	YES	0.863	32.39	119.41	Han	Yangzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00064	YES	0.9361	32.39	119.41	Han	Yangzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06092	YES	0.9191	38.91	121.61	Man	Dalian	Liaoning	China	Tungusic	East_Asia	WHOLE	LLT_WHALE
YHC00965	YES	0.8966	38.91	121.61	Han	Dalian	Liaoning	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00588	YES	0.7746	38.91	121.61	Han	Dalian	Liaoning	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06778	YES	0.8639	40.71	120.84	Han	Huludao	Liaoning	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06733	YES	0.8962	36.02	106.24	Han	Guyuan	Ningxia	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01672	YES	0.9396	38.49	106.23	Han	Yinchuan	Ningxia	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06427	YES	0.9134	38.49	106.23	Han	Yinchuan	Ningxia	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05569	YES	0.9145	37.38	117.97	Han	Binzhou	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02296	YES	0.8753	37.44	116.36	Han	Dezhou	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07064	YES	0.8752	36.37	119.81	Han	Gaomi	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00105	YES	0.9075	35.23	115.48	Han	Heze	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06236	YES	0.8396	35.23	115.48	Han	Heze	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02571	YES	0.8922	36.65	117.12	Han	Jinan	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02366	YES	0.8801	36.65	117.12	Han	Jinan	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03634	YES	0.8703	36.65	117.12	Han	Jinan	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03529	YES	0.8744	36.46	115.99	Han	Liaocheng	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07494	YES	0.8781	35.1	118.36	Han	Linyi	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04278	YES	0.9431	36.07	120.38	Han	Qingdao	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02506	YES	0.906	36.07	120.38	Han	Qingdao	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00155	YES	0.836	35.11	117.17	Han	Tengzhou	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04354	YES	0.9253	37.46	121.45	Han	Yantai	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02542	YES	0.906	37.46	121.45	Han	Yantai	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03184	YES	0.8718	36.01	119.41	Han	Zhucheng	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00658	YES	0.856	36.01	119.41	Han	Zhucheng	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06173	YES	0.9209	36.81	118.05	Han	Zibo	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07072	YES	0.8437	36.09	111.52	Han	Linfen	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03591	YES	0.8581	36.09	111.52	Han	Linfen	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06892	YES	0.9361	37.52	111.14	Han	Lvliang	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03984	YES	0.8787	35.03	111.01	Han	Yuncheng	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
