hGrp	HG00096
J1c2c2	1	39-24
J1c2c2a	1	39-25
J1c2c3	1	39-24
J1c2c	4	39-23
J1c2d	2	39-21
J1c2e1	1	39-21
J1c2e2	4	39-24
J1c2e	1	39-20
J1c2f	1	39-20
J1c2g	3	39-22
J1c2h	1	39-20
J1c2i	5	39-24
J1c2j	3	39-22
J1c2k	1	39-20
J1c2l	3	39-22
J1c2m1	2	39-22
J1c2m	1	39-20
J1c2n1	2	39-22
J1c2n	1	39-20
J1c2o	1	39-20
J1c2p	1	39-20
J1c2q1	1	39-22
J1c2q	2	39-21
J1c2r	4	39-23
J1c2s1	2	39-22
J1c2s	1	39-20
J1c2t	1	39-20
J1c3	1	39-19
J1c3_A189G	1	39-20
J1c3a1	1	39-21
J1c3a2	1	39-21
J1c3a	1	39-20
J1c3b1	1	39-21
J1c3b1a	1	39-22
J1c3b2	1	39-21
J1c3b	1	39-20
J1c3c1	1	40-21
J1c3c2	1	40-21
J1c3c	2	40-20
J1c3d	1	39-20
J1c3e1	2	39-22
J1c3e2	1	39-21
J1c3e	1	39-20
J1c3f	2	39-21
J1c3g	1	39-20
J1c3h	1	39-20
J1c3i	2	39-21
J1c3j	2	39-21
J1c3k	1	39-20
J1c3m	2	39-22
J1c4	2	39-20
J1c4b	1	39-21
J1c4c	1	39-21
J1c5	1	39-19
J1c5a1	1	39-22
J1c5a	2	39-21
J1c5b	2	39-21
J1c5c1	3	39-24
J1c5c	2	39-21
J1c5d	2	39-21
J1c5e	2	39-21
J1c5f	3	39-22
J1c6	1	39-19
J1c6a	5	39-24
J1c7	3	39-22
J1c7a	2	39-24
J1c8	1	40-18
J1c8a1	2	40-22
J1c8a1a	1	40-23
J1c8a2	1	40-21
J1c8a	2	40-20
J1c8b	1	40-19
J1c9	1	39-19
J1c10	1	39-19
J1c10a	1	39-20
J1c11	1	39-19
J1c11a	1	39-20
J1c12	1	39-21
J1c12a	1	39-22
J1c12b	1	39-22
J1c13	4	39-24
J1c14	6	39-25
J1c15	1	39-19
J1c15a1	2	39-22
J1c15a	1	39-20
J1c15b	7	39-26
J1c16	5	40-22
J1c17	1	39-19
J1c17a	4	40-22
J1c	3	39-18
J1c_C16261T	1	39-19
J1c_C16261T_A189G	1	39-20
J1d1	1	40-19
J1d1a1	1	40-22
J1d1a1a	2	40-24
J1d1a	2	40-21
J1d1b1	1	40-21
J1d1b	1	40-20
J1d2	2	40-20
J1d2a	1	40-21
J1d3	1	40-19
J1d3a1	5	40-25
J1d3a2	1	40-21
J1d3a	1	40-20
J1d4	3	40-21
J1d5	2	40-20
J1d5a	2	40-22
J1d6	1	40-19
J1d6a	1	40-20
J1d	3	40-18
J2	4	40-16
J2a1	1	40-20
J2a1a1	2	40-28
J2a1a1a1	4	41-33
J2a1a1a2	1	41-30
J2a1a1a2a	1	41-31
J2a1a1a3	1	41-30
J2a1a1a	2	41-29
J2a1a1b	2	40-30
J2a1a1c	1	40-29
J2a1a1d	1	40-29
J2a1a1e	1	40-29
J2a1a2	2	40-28
J2a1a2a1	1	40-30
J2a1a2a1a	1	40-31
J2a1a2a	1	40-29
J2a1a	6	40-26
J2a2	5	40-24
J2a2a1	2	40-28
J2a2a1_T16311C	1	40-29
J2a2a1a1	1	41-31
J2a2a1a	2	41-30
J2a2a2	3	40-29
J2a2a	2	40-26
J2a2b1	1	40-26
J2a2b1a	2	40-28
J2a2b2	3	40-28
J2a2b3	5	40-30
J2a2b	1	40-25
J2a2c1	2	40-27
J2a2c	1	40-25
J2a2d	6	40-30
J2a2e	2	40-26
J2a	3	40-19
J2b1	1	40-20
J2b1a1	1	40-22
J2b1a1a	2	41-23
J2b1a2	1	40-22
J2b1a2a	1	40-23
J2b1a3	1	40-22
J2b1a4	2	40-23
J2b1a5	1	40-23
J2b1a6	4	40-25
J2b1a	1	40-21
J2b1a_T16311C	1	40-22
J2b1b1	1	40-24
J2b1b	3	40-23
J2b1c1	1	40-22
J2b1c	1	40-21
J2b1d	1	40-21
J2b1e1	3	40-24
J2b1e	1	40-21
J2b1f	1	40-21
J2b1g	1	40-21
J2b1h	6	40-26
J2b2	3	40-22
J2b	3	40-19
J	6	39-13
JT	3	39-7
K1	2	39-18
K1_T16362C	1	39-19
K1a1	2	39-22
K1a1a1	1	39-24
K1a1a2	1	39-24
K1a1a2a1	1	40-26
K1a1a2a	2	40-25
K1a1a	1	39-23
K1a1b1	1	39-24
K1a1b1a	3	39-27
K1a1b1b1	2	39-28
K1a1b1b	2	39-26
K1a1b1c	2	39-26
K1a1b1d	3	39-27
K1a1b1e	1	39-25
K1a1b1f	3	39-27
K1a1b1g	2	39-26
K1a1b2	1	39-24
K1a1b2a1	2	40-28
K1a1b2a1a	1	40-29
K1a1b2a	3	40-26
K1a1b2b	2	39-26
K1a1b	1	39-23
K1a1c	4	39-26
K1a2	1	39-21
K1a2a1	3	39-25
K1a2a2	1	39-23
K1a2a	1	39-22
K1a2b	1	39-22
K1a2c	2	39-23
K1a3	1	39-21
K1a3a1	1	39-23
K1a3a1a	3	39-26
K1a3a1b	1	39-24
K1a3a2	1	39-23
K1a3a3	1	39-23
K1a3a4	2	39-24
K1a3a	1	39-22
K1a4	1	39-21
K1a4_T146C	1	39-22
K1a4a1	2	39-24
K1a4a1a1	1	39-28
K1a4a1a2	1	39-27
K1a4a1a2a	1	39-28
K1a4a1a2b	2	39-29
K1a4a1a3	1	39-28
K1a4a1a	2	39-26
K1a4a1a_T195C	1	39-27
K1a4a1b1	1	39-26
K1a4a1b2	2	40-26
K1a4a1b	1	39-25
K1a4a1c1	1	39-26
K1a4a1c	1	39-25
K1a4a1d	1	39-25
K1a4a1e	2	41-24
K1a4a1f1	2	40-28
K1a4a1f	3	40-26
K1a4a1g	2	39-26
K1a4a1h	1	39-25
K1a4a1i	2	40-25
K1a4a	1	39-22
K1a4b1	4	39-27
K1a4b	2	39-23
K1a4c1	3	40-26
K1a4c	3	40-23
K1a4d	3	39-24
K1a4e	1	39-22
K1a4f1	1	39-23
K1a4f	1	39-22
K1a4g	2	39-23
K1a4h1	1	39-24
K1a4h	2	39-23
K1a4i	1	39-22
K1a4j1	2	40-24
K1a4j	1	39-23
K1a5	1	39-21
K1a5a	3	39-24
K1a5b	4	39-25
K1a6	3	39-23
K1a7	1	39-21
K1a8	1	39-21
K1a8a1	1	39-24
K1a8a	2	39-23
K1a8b	2	39-23
K1a9	1	39-22
K1a10	1	39-22
K1a10a	1	39-23
K1a11	5	39-25
K1a11a1	1	40-27
K1a11a	2	40-26
K1a11b	1	39-26
K1a12	1	39-21
K1a12a1	1	39-23
K1a12a1a	1	39-24
K1a12a	1	39-22
K1a13	3	39-24
K1a13a	1	39-25
K1a14	3	39-24
K1a15	1	39-22
K1a16	1	39-22
K1a17	3	39-23
K1a17a	2	39-25
K1a18	2	39-22
K1a19	1	39-21
K1a19a	7	39-28
K1a23	1	39-21
K1a24	1	39-22
K1a24a	4	39-26
K1a25	3	40-22
K1a26	1	39-22
K1a27	2	39-22
K1a28	4	39-24
K1a29	1	39-21
K1a29a	2	39-23
K1a30	1	39-22
K1a30a	1	39-23
K1a31	1	39-22
K1a	2	39-20
K1a_C150T	1	39-21
K1a_T195C	1	39-21
K1b1	3	39-22
K1b1_T16093C	1	39-23
K1b1a1	1	40-28
K1b1a1_T199C	1	40-29
K1b1a1a	1	40-30
K1b1a1b	2	40-31
K1b1a1c1	1	40-31
K1b1a1c	2	40-30
K1b1a1d1	1	40-30
K1b1a1d	1	40-29
K1b1a2	5	40-32
K1b1a	5	40-27
K1b1b1	2	39-27
K1b1b	2	39-25
K1b1c	3	39-25
K1b2	3	39-22
K1b2a1	1	39-24
K1b2a1a1	1	39-26
K1b2a1a	1	39-25
K1b2a2	1	39-24
K1b2a2a	1	39-25
K1b2a3	1	39-24
K1b2a	1	39-23
K1b2b1	1	39-27
K1b2b	4	39-26
K1b	1	39-19
K1c1	2	40-21
K1c1a	1	40-22
K1c1b	1	40-22
K1c1c	1	40-22
K1c1d	3	40-24
K1c1e	1	40-22
K1c1f	1	40-22
K1c1g	1	40-22
K1c1h	1	40-22
K1c1i	1	40-22
K1c2	4	40-23
K1c2a	1	40-23
K1c	3	40-19
K1d1	1	40-24
K1d	5	40-23
K1e1	4	40-27
K1e	5	40-23
K1f	2	39-21
K2	2	39-18
K2a1	3	40-23
K2a1a	2	41-24
K2a2	1	40-21
K2a2a1	3	40-25
K2a2a	1	40-22
K2a3	1	40-21
K2a3a1	1	40-23
K2a3a	1	40-22
K2a4	1	40-21
K2a5	1	40-21
K2a5a1	2	40-24
K2a5a	1	40-22
K2a5b	1	40-22
K2a6	1	40-21
K2a7	1	40-21
K2a8	2	40-22
K2a9	2	40-22
K2a10	1	40-21
K2a11	4	40-24
K2a	3	40-20
K2b1	1	39-22
K2b1a1	1	39-24
K2b1a1a	1	39-25
K2b1a2	1	39-24
K2b1a3	1	39-24
K2b1a4	3	39-26
K2b1a	1	39-23
K2b1b	4	39-26
K2b2	1	39-22
K2b	3	39-21
K2c	1	39-19
K3	11	39-27
K	5	39-16
L0	10	0-10
L0a1	1	5-35
L0a1'4	1	5-34
L0a1_A16293G	1	5-36
L0a1a1	1	5-39
L0a1a2	2	5-39
L0a1a3	1	5-39
L0a1a	2	5-37
L0a1a_A200G	1	5-38
L0a1b1	2	5-41
L0a1b1a1	1	5-43
L0a1b1a1a	2	5-45
L0a1b1a	1	5-42
L0a1b2	3	5-42
L0a1b2a	1	5-43
L0a1b	3	5-39
L0a1c1	3	6-39
L0a1c	1	5-37
L0a1d	3	6-38
L0a1e	5	6-39
L0a2	9	7-39
L0a2a1	1	7-42
L0a2a1a1	2	7-45
L0a2a1a2	2	7-45
L0a2a1a	1	7-43
L0a2a1b	2	7-44
L0a2a2	4	7-45
L0a2a2a1	2	8-47
L0a2a2a2	1	7-47
L0a2a2a	1	7-46
L0a2a	2	7-41
L0a2b1	1	8-48
L0a2b	10	8-47
L0a2c	13	8-50
L0a2d	2	7-41
L0a3	1	5-34
L0a4	16	5-50
L0a	6	5-33
L0a'b'f'g	9	3-20
L0a'b'f'g'k	4	0-14
L0a'b'g	7	3-27
L0a'g	2	3-29
L0b	6	4-32
L0d1	5	2-27
L0d1'2	4	1-23
L0d1a1	3	3-35
L0d1a1a1	1	4-37
L0d1a1a2	1	3-38
L0d1a1a3	1	3-38
L0d1a1a	2	3-37
L0d1a1b1	2	3-39
L0d1a1b1a	1	3-40
L0d1a1b1b	1	3-40
L0d1a1b	2	3-37
L0d1a1c	6	5-39
L0d1a1d	2	3-37
L0d1a	4	3-33
L0d1a'c'd	1	2-28
L0d1a'd	2	3-29
L0d1b1	5	4-31
L0d1b1_C152T	1	4-32
L0d1b1a1	1	4-37
L0d1b1a	5	4-36
L0d1b1b1	4	4-36
L0d1b1b	1	4-32
L0d1b1c	6	5-37
L0d1b2	4	2-32
L0d1b2a1	1	2-40
L0d1b2a2	3	2-42
L0d1b2a	7	2-39
L0d1b2b1	2	2-35
L0d1b2b1a	8	2-43
L0d1b2b1b1	1	2-39
L0d1b2b1b	3	2-38
L0d1b2b2	4	4-35
L0d1b2b2a	1	4-36
L0d1b2b2b1	2	4-38
L0d1b2b2b	1	4-36
L0d1b2b2c1	1	4-37
L0d1b2b2c2	3	4-39
L0d1b2b2c	1	4-36
L0d1b2b	1	2-33
L0d1b	1	2-28
L0d1c1	2	3-37
L0d1c1a1	2	3-41
L0d1c1a1a1	3	3-45
L0d1c1a1a2	1	3-43
L0d1c1a1a	1	3-42
L0d1c1a1b	1	3-42
L0d1c1a2	3	3-42
L0d1c1a	2	3-39
L0d1c2	1	3-36
L0d1c2a1	4	3-43
L0d1c2a	4	3-39
L0d1c3	4	3-39
L0d1c	8	3-35
L0d1d	13	7-38
L0d2	6	1-29
L0d2a1	6	1-40
L0d2a1a1	1	1-42
L0d2a1a1a	1	1-43
L0d2a1a2	1	1-42
L0d2a1a3	1	1-42
L0d2a1a	1	1-41
L0d2a1b	3	2-42
L0d2a1c	4	1-44
L0d2a2	8	1-42
L0d2a	4	1-34
L0d2a'b'd	1	1-30
L0d2b1	11	2-46
L0d2b1a1	2	3-49
L0d2b1a1a	1	3-50
L0d2b1a	2	3-47
L0d2b1b	4	2-49
L0d2b2	4	1-40
L0d2b	6	1-36
L0d2c1	1	1-43
L0d2c1a1	4	2-49
L0d2c1a	3	2-45
L0d2c1b	2	1-45
L0d2c2	6	1-48
L0d2c2a1	1	1-50
L0d2c2a1a	2	1-52
L0d2c2a	1	1-49
L0d2c2b	2	1-50
L0d2c	13	1-42
L0d2d	14	1-44
L0d3	18	0-39
L0d3a	4	0-43
L0d3b1	1	1-47
L0d3b2	1	1-47
L0d3b	8	1-46
L0d	11	0-21
L0f1	5	5-35
L0f2	4	3-36
L0f2a1	12	4-50
L0f2a	3	3-39
L0f2b	24	4-59
L0f	12	3-32
L0g	25	5-52
L0k1	3	1-44
L0k1a1	2	4-49
L0k1a1a	2	4-51
L0k1a1b	1	4-50
L0k1a1c	1	4-50
L0k1a1d	1	4-50
L0k1a2	1	3-49
L0k1a2a	1	3-50
L0k1a3	4	3-52
L0k1a	6	3-48
L0k1b	6	1-50
L0k2	6	3-44
L0k2a1	1	4-48
L0k2a1a	3	4-51
L0k2a	4	4-47
L0k2b	1	3-45
L0k	28	1-41
L1	6	7-7
L1'2'3'4'5'6	8	7-1
L1b1	5	8-34
L1b1a1	3	8-39
L1b1a1'4	1	8-36
L1b1a2	1	8-36
L1b1a2a	1	8-37
L1b1a3	1	8-37
L1b1a3a1	1	8-39
L1b1a3a	1	8-38
L1b1a3b	2	8-39
L1b1a4	1	8-37
L1b1a4a	1	8-38
L1b1a5	1	8-36
L1b1a6	2	8-37
L1b1a7	1	8-36
L1b1a7a	2	8-38
L1b1a8	1	8-36
L1b1a9	1	8-37
L1b1a10	1	8-36
L1b1a10a	1	8-37
L1b1a10b	1	8-37
L1b1a12	2	8-37
L1b1a12a	1	8-38
L1b1a12b	2	9-38
L1b1a13	1	8-36
L1b1a14	1	8-36
L1b1a15	2	8-38
L1b1a15a	1	8-39
L1b1a16	3	8-37
L1b1a17	1	8-37
L1b1a18	3	9-38
L1b1a	1	8-35
L1b1a_A189G	1	8-36
L1b2	5	9-34
L1b2'3	1	9-29
L1b2a	4	10-37
L1b3	4	9-33
L1b	23	8-29
L1c1	4	7-30
L1c1'2'4'5'6	1	7-24
L1c1'2'4'6	2	7-26
L1c1a1	3	10-35
L1c1a1a1	7	12-46
L1c1a1a1a	5	13-50
L1c1a1a1b1	1	13-49
L1c1a1a1b	3	13-48
L1c1a1a2	4	12-43
L1c1a1a	6	11-40
L1c1a1b	12	13-44
L1c1a2	13	9-46
L1c1a2a1	1	9-50
L1c1a2a2	1	9-50
L1c1a2a	3	9-49
L1c1a2b	5	9-51
L1c1a2c	3	9-49
L1c1a	3	7-34
L1c1a'b'd	1	7-31
L1c1a_T198C	1	8-34
L1c1b1	5	8-45
L1c1b	9	7-41
L1c1b'd	1	7-32
L1c1c	11	10-38
L1c1d1	2	7-39
L1c1d	5	7-37
L1c2	12	8-40
L1c2'4	3	8-28
L1c2a1	2	9-45
L1c2a1a	7	9-52
L1c2a1b	2	9-47
L1c2a2	12	11-52
L1c2a3	4	9-47
L1c2a3a	6	10-52
L1c2a	4	9-43
L1c2b1	1	8-43
L1c2b1a1	3	8-50
L1c2b1a	3	8-47
L1c2b1a'b	1	8-44
L1c2b1b1	3	8-51
L1c2b1b	4	8-48
L1c2b1c	9	8-52
L1c2b2	3	8-45
L1c2b	3	8-42
L1c3	8	9-29
L1c3a1	1	10-37
L1c3a1a	2	10-39
L1c3a1b	2	10-39
L1c3a	8	10-36
L1c3b1	8	9-43
L1c3b1a	3	9-46
L1c3b1b	2	9-45
L1c3b2	11	10-45
L1c3b	4	9-35
L1c3b'c	2	9-31
L1c3c	13	9-43
L1c4	12	10-38
L1c4a	14	10-52
L1c4b	2	10-40
L1c5	18	8-40
L1c6	4	7-30
L1c	16	7-23
L2	10	24-11
L2'3'4'5'6	5	11-2
L2'3'4'6	12	22-3
L2a1	4	26-24
L2a1'2'3'4	7	25-21
L2a1_G143A	1	26-25
L2a1_G143A_G16309A	1	27-25
L2a1_G143A_T16189C__C16192T	2	26-27
L2a1_G143A_T16189C__C16192T_G16309A	1	27-27
L2a1_T16189C__C16192T	2	26-26
L2a1a1	3	26-31
L2a1a2	1	26-29
L2a1a2a1	1	26-31
L2a1a2a1a	1	26-32
L2a1a2a	1	26-30
L2a1a2b	1	26-30
L2a1a2c	3	26-32
L2a1a3	2	26-30
L2a1a3a	1	26-31
L2a1a3b	1	26-31
L2a1a3c	2	26-32
L2a1a	4	26-28
L2a1b1	1	26-28
L2a1b1a	2	26-30
L2a1b2	1	26-28
L2a1b3	2	26-30
L2a1b	1	26-27
L2a1b_G143A	1	26-28
L2a1c1	4	26-32
L2a1c1a1	1	26-34
L2a1c1a2	1	26-34
L2a1c1a	1	26-33
L2a1c2	3	26-30
L2a1c2a	3	26-33
L2a1c3	1	26-28
L2a1c3a1	4	26-33
L2a1c3a	1	26-29
L2a1c3b1	1	27-30
L2a1c3b2	4	27-33
L2a1c3b	2	27-29
L2a1c4	1	26-28
L2a1c4a1	1	26-30
L2a1c4a	1	26-29
L2a1c5	1	26-29
L2a1c6	4	26-32
L2a1c	2	26-27
L2a1c_G16129A	1	26-28
L2a1c_T16086C	1	26-28
L2a1d1	5	27-36
L2a1d2	1	27-32
L2a1d	6	27-31
L2a1e1	3	27-30
L2a1e	3	26-28
L2a1f1	1	26-28
L2a1f1a	1	26-29
L2a1f2	1	26-28
L2a1f3	1	26-28
L2a1f	1	26-27
L2a1g	5	26-31
L2a1h	3	27-28
L2a1i1	2	27-31
L2a1i	2	27-29
L2a1j	2	26-29
L2a1k	3	26-30
L2a1l1	1	26-29
L2a1l1a1	1	26-31
L2a1l1a2	1	26-31
L2a1l1a	1	26-30
L2a1l1b	1	26-30
L2a1l2	1	26-29
L2a1l2a1	1	27-31
L2a1l2a	2	27-30
L2a1l3	2	26-30
L2a1l	1	26-28
L2a1m1	1	26-28
L2a1m1a	1	26-29
L2a1m	1	26-28
L2a1n	2	26-29
L2a1o	1	26-28
L2a1p	3	26-30
L2a1q	3	27-30
L2a2	1	26-29
L2a2'3	3	26-28
L2a2'3'4	5	26-25
L2a2a1	1	26-33
L2a2a	3	26-32
L2a2b1	1	27-32
L2a2b1a	5	28-36
L2a2b2	3	27-34
L2a2b	3	27-31
L2a3	6	27-33
L2a4	5	26-30
L2a4a	7	27-36
L2a4b	6	27-35
L2a5	9	26-22
L2a	2	25-14
L2a'b'c'd	2	24-13
L2b1	5	24-42
L2b1a2	1	25-44
L2b1a3	1	25-44
L2b1a4	1	25-44
L2b1a	2	25-43
L2b1b	2	24-44
L2b2	3	24-40
L2b2a	6	24-46
L2b3	1	25-37
L2b3a	6	25-43
L2b3b	1	25-38
L2b3c	1	25-38
L2b	17	24-37
L2b'c	6	24-20
L2b'c'd	1	24-14
L2c1	1	24-29
L2c1a	2	25-30
L2c2	2	24-30
L2c2a1	3	24-34
L2c2a	1	24-31
L2c2b1	2	24-33
L2c2b1a	2	24-35
L2c2b1b	4	24-37
L2c2b2	1	24-32
L2c2b	1	24-31
L2c3	1	24-29
L2c3a	2	24-31
L2c4	1	24-29
L2c5	1	24-29
L2c	8	24-28
L2d1	1	26-34
L2d1a	4	26-38
L2d	20	26-32
L2d_G16129A	1	26-33
L2e1	1	24-37
L2e1a	3	24-40
L2e	25	24-36
L3	3	32-3
L3'4	5	29-3
L3'4'6	2	24-3
L3a1	6	33-13
L3a1a	2	34-14
L3a1b	7	33-20
L3a2	2	33-10
L3a2a	4	35-12
L3a	5	33-7
L3a_G709A	1	33-8
L3b1	1	32-16
L3b1a1	1	32-18
L3b1a1a	1	32-19
L3b1a2	1	32-18
L3b1a3	2	32-19
L3b1a4	2	32-19
L3b1a5	1	32-18
L3b1a5a	1	32-19
L3b1a6	3	33-20
L3b1a7	4	33-21
L3b1a7a	1	33-22
L3b1a8	2	33-19
L3b1a9	1	33-18
L3b1a9a	1	33-19
L3b1a10	2	32-19
L3b1a11	2	32-19
L3b1a	1	32-17
L3b1a_C16124T	1	33-17
L3b1a_T152C	1	33-17
L3b1b1	1	33-19
L3b1b	3	33-18
L3b2	3	32-18
L3b2a	2	32-20
L3b2b	3	32-21
L3b3	7	32-22
L3b	12	32-15
L3b'f	1	32-3
L3c	16	34-19
L3c'd	2	33-4
L3d1	1	33-12
L3d1'2'3'4'5'6	1	33-11
L3d1a1	1	33-17
L3d1a1'2	1	33-16
L3d1a1a1	1	33-23
L3d1a1a	5	33-22
L3d1a1b	8	33-25
L3d1a2	1	33-17
L3d1a	3	33-15
L3d1b1	1	33-14
L3d1b1a	1	33-15
L3d1b1b	3	33-17
L3d1b2	3	33-16
L3d1b3	3	33-16
L3d1b3a	1	33-17
L3d1b	1	33-13
L3d1c1	2	33-20
L3d1c	6	33-18
L3d1d	4	33-16
L3d2	3	33-14
L3d2a	2	33-16
L3d2b	1	33-15
L3d3	3	33-14
L3d3a1	1	33-23
L3d3a1a	1	33-24
L3d3a1b	1	33-24
L3d3a	8	33-22
L3d3b	1	33-15
L3d4	2	33-13
L3d4a	2	33-15
L3d5	2	33-13
L3d5a	3	33-16
L3d6	5	33-16
L3d	6	33-10
L3e1	8	32-15
L3e1a1	3	32-19
L3e1a1a	1	32-20
L3e1a2	8	33-23
L3e1a3	1	33-16
L3e1a3a	2	33-18
L3e1a3b	3	33-19
L3e1a	1	32-16
L3e1b1	1	32-17
L3e1b2	4	33-19
L3e1b	2	32-16
L3e1c	5	33-18
L3e1d1	3	33-19
L3e1d1a	1	33-20
L3e1d	2	33-16
L3e1e1	1	32-17
L3e1e2	6	33-20
L3e1e	1	32-16
L3e1f1	1	32-16
L3e1f1a	2	32-18
L3e1f2	4	32-19
L3e1f	1	32-15
L3e1g	10	32-25
L3e2	3	32-10
L3e2a1	1	32-14
L3e2a1a	4	32-18
L3e2a1b1	1	32-16
L3e2a1b2	2	32-17
L3e2a1b3	1	32-16
L3e2a1b	1	32-15
L3e2a2	1	32-14
L3e2a3	2	32-15
L3e2a	3	32-13
L3e2b1	1	32-13
L3e2b1a1	1	32-15
L3e2b1a2	2	32-16
L3e2b1a	1	32-14
L3e2b2	1	32-13
L3e2b3	1	33-13
L3e2b4	1	33-13
L3e2b5	1	33-13
L3e2b6	2	33-14
L3e2b7	1	32-13
L3e2b8	1	32-13
L3e2b	2	32-12
L3e2b_T152C	1	33-12
L3e3	8	32-17
L3e3'4	1	32-9
L3e3'4'5	1	32-8
L3e3a	3	33-19
L3e3b1	1	32-23
L3e3b2	1	32-23
L3e3b3	1	32-23
L3e3b	5	32-22
L3e4	5	32-14
L3e4a1	1	32-16
L3e4a	1	32-15
L3e5	3	32-11
L3e5_T195C	1	32-12
L3e5a1	1	32-13
L3e5a1a	1	32-14
L3e5a	1	32-12
L3e5b	1	32-12
L3e5c	1	32-13
L3e5d	2	32-13
L3e5e	2	32-13
L3e5f	3	32-14
L3e	2	32-7
L3e'i'k'x	2	32-5
L3f1	2	32-9
L3f1a1	2	32-16
L3f1a	5	32-14
L3f1b1	1	32-20
L3f1b1a1	1	32-24
L3f1b1a	3	32-23
L3f1b2	1	32-20
L3f1b2a	2	32-22
L3f1b3	3	32-23
L3f1b4	1	32-21
L3f1b4a1	1	33-23
L3f1b4a	2	33-22
L3f1b4b	1	32-22
L3f1b4c	1	32-22
L3f1b5	1	32-20
L3f1b	9	32-18
L3f1b_C16292T	1	32-19
L3f1b_C16292T_C150T	1	32-20
L3f2	2	32-8
L3f2a1	3	33-12
L3f2a1a	2	33-14
L3f2a	2	33-9
L3f2b	7	33-14
L3f3	14	32-21
L3f3a	1	32-22
L3f3b	1	32-22
L3f	4	32-7
L3h1	6	32-11
L3h1a1	8	32-20
L3h1a2	1	32-13
L3h1a2a1	2	32-24
L3h1a2a	9	32-22
L3h1a2b	1	32-14
L3h1a	1	32-12
L3h1b1	1	32-17
L3h1b1a	2	32-19
L3h1b2	11	33-26
L3h1b	5	32-16
L3h2	18	32-23
L3h	2	32-5
L3i1	4	32-10
L3i1a	3	33-12
L3i1b	2	32-12
L3i2	8	33-13
L3i	1	32-6
L3k1	7	33-21
L3k	10	33-14
L3x1	3	33-14
L3x1_T16311C	1	33-15
L3x1a1	3	33-17
L3x1a2	1	33-16
L3x1a	1	33-15
L3x1b	1	33-16
L3x2	6	33-17
L3x2a1	4	34-21
L3x2a1a	3	34-24
L3x2a	2	34-18
L3x2b	5	33-22
L3x	7	33-11
L4	3	29-6
L4a1	7	29-23
L4a1a	4	29-27
L4a2	2	29-18
L4a	10	29-16
L4b1	5	30-12
L4b1a	22	30-34
L4b2	11	30-18
L4b2a1	8	33-25
L4b2a2	5	32-23
L4b2a2a	3	32-26
L4b2a2b	4	32-27
L4b2a2c	3	32-26
L4b2a	2	31-19
L4b2b1	4	30-26
L4b2b	4	30-22
L4b	2	29-8
L5	7	12-8
L5a1	4	15-38
L5a1a	2	15-40
L5a1b	2	15-40
L5a1c	2	15-40
L5a2	2	14-37
L5a	29	14-35
L5b1	18	15-27
L5b1a	4	15-31
L5b1b	1	15-28
L5b2	33	18-37
L5b	4	15-9
L6	24	25-26
L6a	2	25-28
L6b	1	25-27
M1	9	32-17
M1'20'51	1	32-8
M1a1	3	32-22
M1a1_T16093C	1	32-23
M1a1a1	4	33-26
M1a1a	1	32-23
M1a1b1	1	32-25
M1a1b1a	1	32-26
M1a1b1b1	1	32-27
M1a1b1b	1	32-26
M1a1b1c	2	32-27
M1a1b2	1	32-25
M1a1b	2	32-24
M1a1c	5	32-28
M1a1d	3	32-25
M1a1e1	1	32-24
M1a1e2	1	32-24
M1a1e	1	32-23
M1a1f	1	32-23
M1a1g	4	32-26
M1a1h	2	32-24
M1a1i	4	32-26
M1a2	1	32-20
M1a2a	3	33-22
M1a2b	3	32-23
M1a3	2	33-20
M1a3a	1	33-21
M1a3b1	3	34-23
M1a3b2	1	33-22
M1a3b	1	33-21
M1a4	2	32-21
M1a4a	2	32-23
M1a5	8	33-26
M1a6	1	32-20
M1a7	1	32-20
M1a8	1	32-20
M1a8a	2	32-22
M1a	2	32-19
M1b1	5	32-23
M1b1a	2	32-25
M1b1b	2	32-25
M1b2	2	32-20
M1b2a	2	32-22
M1b2b	3	32-23
M1b2c	1	32-21
M1b	1	32-18
M2	5	32-12
M2a1	6	32-22
M2a1a1	2	33-25
M2a1a1a1	2	33-28
M2a1a1a	1	33-26
M2a1a1b1	1	33-27
M2a1a1b	1	33-26
M2a1a2	1	33-24
M2a1a2a1	3	33-28
M2a1a2a1a	1	33-29
M2a1a2a	1	33-25
M2a1a3	2	33-26
M2a1a3_T16093C	1	33-27
M2a1a3a1	1	33-29
M2a1a3a	1	33-28
M2a1a3b	1	33-28
M2a1a	2	33-23
M2a1a_G207A	1	33-24
M2a1b	7	32-29
M2a1c	2	32-24
M2a2	6	32-22
M2a2a	2	32-24
M2a3	4	32-20
M2a3a	1	32-21
M2a	2	32-16
M2a'b	2	32-14
M2b1	2	35-27
M2b1a	6	35-33
M2b1b	9	35-36
M2b2	1	35-26
M2b3	1	35-26
M2b3a	2	35-28
M2b4	5	35-29
M2b	14	35-25
M2c	4	32-16
M3	2	32-9
M3a1	1	32-11
M3a1_T204C	1	32-12
M3a1a	1	32-13
M3a1b	1	32-13
M3a2	2	32-12
M3a2a	3	32-15
M3a	1	32-10
M3b	3	32-12
M3c1	6	34-15
M3c1a	1	34-16
M3c1b1	2	34-21
M3c1b1a	2	34-23
M3c1b1b	1	34-22
M3c1b	4	34-19
M3c2	1	32-11
M3c	1	32-10
M3c_T152C	1	33-10
M3d1	2	32-13
