hGrp	HG00096
D4b2b2b	3	321-140
D4b2b2c	3	311-146.2
D4b2b3	4	311-146.3
D4b2b4	2	311-134.6
D4b2b5	1	311-130.7
D4b2b6	3	311-151.9
D4b2b7	3	311-140.8
D4b2b	2	311-123.1
D4b2d	5	311-148
D4b	1	311-97.6
D4c1	2	321-108
D4c1a1	1	331-142.4
D4c1a	6	331-134.8
D4c1b1	3	321-147.2
D4c1b2	1	321-136.3
D4c1b	3	321-128.7
D4c2	2	311-115.3
D4c2a	4	311-133.5
D4c2b	2	311-128.7
D4c2c	1	311-123.4
D4c	1	311-98
D4d	8	311-146.8
D4e1	2	311-121.6
D4e1'3	1	311-110.5
D4e1a1	3	311-158.9
D4e1a2	1	311-151.5
D4e1a2a	3	311-176.4
D4e1a3	1	311-153.1
D4e1a	4	311-145
D4e1c	1	311-131.6
D4e2	1	311-109.3
D4e2a	2	321-119.3
D4e2b	1	311-116.3
D4e2c	1	311-115.1
D4e2d	1	311-118.1
D4e3	2	311-126.1
D4e4	2	311-117
D4e4a1	3	311-136.3
D4e4a	1	311-127
D4e4b	2	311-132.7
D4e5	4	311-129
D4e5a	3	322-137.8
D4e5b	2	311-140.2
D4e	1	311-100.5
D4f1	4	321-127.4
D4f	1	311-99.3
D4g1	5	331-123.9
D4g1a	2	331-139.2
D4g1b	2	331-143.9
D4g1c	1	331-126.9
D4g2	2	311-116.8
D4g2a1	1	311-138.3
D4g2a1a	5	321-162.3
D4g2a1b	3	311-152.4
D4g2a1c	1	311-139.3
D4g2a	2	311-129.5
D4g2b1	1	311-131.9
D4g2b1a	6	311-172.4
D4g2b	1	311-125.6
D4g	1	311-100.5
D4h1	1	311-123.8
D4h1a1	2	311-152.6
D4h1a2	4	311-170.2
D4h1a	3	311-139.6
D4h1b	2	311-137.6
D4h1c1	2	312-158
D4h1c	5	312-144.5
D4h1d	6	311-161.1
D4h2	6	311-148.4
D4h3	4	312-134
D4h3a1	2	312-200.1
D4h3a1a1	2	312-220.7
D4h3a1a2	1	312-214.2
D4h3a1a	2	312-210.8
D4h3a2	2	322-191.9
D4h3a3	1	312-183.1
D4h3a3a	1	312-190.1
D4h3a4	3	312-203.5
D4h3a5	1	322-183.1
D4h3a6	4	312-208.4
D4h3a7	1	312-201.2
D4h3a8	3	312-209.9
D4h3a9	2	312-206.3
D4h3a	6	312-183.1
D4h3a_C152T	1	312-193.1
D4h3b	9	312-203.6
D4h4	1	311-125
D4h4a	5	312-151.2
D4h	3	311-116.2
D4i1	2	311-107.6
D4i2	1	311-104.8
D4i3	4	311-119
D4i	1	311-96
D4j1	1	311-106
D4j1a1	2	311-150.2
D4j1a1a	1	311-157.5
D4j1a1b	1	311-151.2
D4j1a2	2	311-145.8
D4j1a	4	311-132.6
D4j1b2	2	311-136.9
D4j1b	2	311-122.4
D4j2	5	312-125.3
D4j2a	1	312-131.8
D4j3	1	311-105.5
D4j3a1	3	311-135.7
D4j3a	1	311-111.8
D4j4	1	311-106.8
D4j4a	1	311-112.9
D4j5	2	311-112.7
D4j5a	2	311-123.7
D4j6	1	311-106.8
D4j7	3	311-125.6
D4j7a	2	311-135.4
D4j8	1	311-106.3
D4j9	1	311-106.2
D4j10	1	311-106.3
D4j11	2	311-116.8
D4j12	3	311-124.5
D4j13	3	311-122.9
D4j14	1	311-106
D4j15	1	311-99.7
D4j16	2	311-111.2
D4j	1	311-98.7
D4j_C16286T	1	311-105.2
D4j_T146C	1	311-100.5
D4j_T16311C	1	311-100.3
D4k	2	321-94.7
D4l1	1	311-114.9
D4l1a1	1	311-137.6
D4l1a	2	311-127.6
D4l2	3	321-121
D4l2a1	3	321-137.6
D4l2a2	1	321-131.4
D4l2a	1	321-127.5
D4l2b	2	321-134.9
D4l	2	311-106.1
D4m1	6	321-143.9
D4m2	4	311-137.1
D4m2a1	1	311-151
D4m2a1a	1	311-161
D4m2a	1	311-143.4
D4m	2	311-102.7
D4n1	1	311-103.6
D4n1a	1	311-110.9
D4n2	2	311-111.4
D4n	2	311-99.4
D4o1	5	311-136.5
D4o1a	1	311-146.5
D4o2	3	311-125.9
D4o2a1	2	311-146.2
D4o2a	1	311-134.7
D4o	2	311-106.3
D4p1	1	311-114.8
D4p	2	311-104.8
D4q1	1	311-107
D4q1a	2	311-123.9
D4q	3	311-101.6
D4s	3	311-111.6
D4t	2	311-111.7
D5	4	311-99.4
D5a1	5	311-148.8
D5a1a1	1	311-164
D5a1a2	1	311-164.5
D5a1a	1	311-156.4
D5a2	2	311-143.2
D5a2a1	1	311-160.7
D5a2a1_C16172T	1	321-160.7
D5a2a1a1	1	331-189.5
D5a2a1a1a	1	331-196.8
D5a2a1a2	1	331-189.5
D5a2a1a	3	331-179.5
D5a2a1b1	1	311-176.8
D5a2a1b	1	311-170.7
D5a2a2	1	311-163.1
D5a2a	1	311-147.8
D5a2a_T16092C	1	311-153.1
D5a2b	1	311-153.2
D5a3	1	311-136.7
D5a3a1	1	311-150.7
D5a3a1a	3	311-168.9
D5a3a	1	311-141.9
D5a	3	311-130
D5a'b	1	311-105.9
D5b1	1	311-154.5
D5b1a1	1	311-167.9
D5b1a2	2	311-169.5
D5b1a	1	311-161.8
D5b1b1	3	311-189.1
D5b1b2	3	311-181
D5b1b	1	311-164.5
D5b1c1	5	322-171.7
D5b1c1a	2	332-179.8
D5b1c	1	311-155.5
D5b1d	3	311-170.3
D5b2	11	311-218
D5b3	1	311-156.3
D5b3a1	1	311-180.6
D5b3a	2	311-173.9
D5b4	7	321-198
D5b	5	311-147.5
D5c1	4	312-155.5
D5c1a	3	322-168.3
D5c2	7	312-197.7
D5c	7	312-135.9
D5c_T16311C	1	312-137.5
D6	5	311-95.7
D6a1	5	321-132.5
D6a1a	1	321-138.4
D6a2	6	321-136.4
D6a	1	311-99.6
D6c1	1	312-120.7
D6c1a	2	312-136.9
D6c	4	312-113.1
D	2	311-69
D_T16189C	1	311-71
E1	2	311-115.2
E1a1	1	311-137.2
E1a1a1	1	321-140.8
E1a1a1a	1	321-147.1
E1a1a1b1	1	321-165.9
E1a1a1b2	1	321-156.9
E1a1a1b	2	321-155.9
E1a1a1c	2	321-149.1
E1a1a	1	321-137.2
E1a1b1	1	311-151.2
E1a1b2	1	311-149.8
E1a1b3	1	321-144.2
E1a1b4	1	311-151.5
E1a1b	1	311-144.2
E1a1c	1	311-147.2
E1a2	3	312-148.3
E1a2_C16261T	1	312-152.5
E1a2a1	1	312-170.1
E1a2a2	1	312-166.6
E1a2a3	5	312-195.5
E1a2a4	2	312-175.2
E1a2a	1	312-161.3
E1a	2	311-132.1
E2	6	311-137.9
E2a1	1	311-150.5
E2a1a	3	311-173.9
E2a2	1	311-154.3
E2a	1	311-145.5
E2b1	1	311-149.3
E2b2	1	311-150.1
E2b	1	311-142
E	5	311-98.8
F1	4	381-90.1
F1_T16189C	1	381-92.1
F1a1	1	381-130.6
